"dayNr","DMCont","country"
1,33.6968037503209,"NG"
2,33.6156216583377,"NG"
3,33.5356118111333,"NG"
4,33.4995803482032,"NG"
5,33.4178406618197,"NG"
6,33.3698085598082,"NG"
7,33.3103910957663,"NG"
8,33.2177601489121,"NG"
9,33.1033072658374,"NG"
10,33.0257725443775,"NG"
11,32.9258711109933,"NG"
12,32.8170843647169,"NG"
13,32.712845761396,"NG"
14,32.6142563271879,"NG"
15,32.5232027700367,"NG"
16,32.4418048711074,"NG"
17,32.3386884019924,"NG"
18,32.2181187313236,"NG"
19,32.1434336400945,"NG"
20,32.0421021508147,"NG"
21,31.893768528111,"NG"
22,31.7817382417329,"NG"
23,31.7261764787828,"NG"
24,31.6178673779231,"NG"
25,31.4388980182894,"NG"
26,31.2540114173435,"NG"
27,31.0662484351301,"NG"
28,30.9440498855403,"NG"
29,30.8966559403917,"NG"
30,30.8593804923719,"NG"
31,30.6635817998202,"NG"
32,30.5482813357882,"NG"
33,30.3569901783815,"NG"
34,30.1697411643238,"NG"
35,30.0568739936461,"NG"
36,29.8755347343059,"NG"
37,29.6990847189468,"NG"
38,29.5917557895308,"NG"
39,29.424023730155,"NG"
40,29.3836508813229,"NG"
41,29.2240119367153,"NG"
42,29.1863732333138,"NG"
43,29.0926759244568,"NG"
44,28.9499598289511,"NG"
45,28.8664303306039,"NG"
46,28.7870354537547,"NG"
47,28.6700521977619,"NG"
48,28.565310323167,"NG"
49,28.5038772764479,"NG"
50,28.4465533914855,"NG"
51,28.3932718248686,"NG"
52,28.3439626758668,"NG"
53,28.2755295341339,"NG"
54,28.2356336745382,"NG"
55,28.1992166990734,"NG"
56,28.1661859420338,"NG"
57,28.1536853383562,"NG"
58,28.1439025083476,"NG"
59,28.1372462996003,"NG"
60,28.114763941259,"NG"
61,28.1147611727669,"NG"
62,28.0989998081738,"NG"
63,28.1076072214942,"NG"
64,28.1227848236704,"NG"
65,28.1190909131097,"NG"
66,28.1471036203674,"NG"
67,28.1845603603509,"NG"
68,28.2323128041546,"NG"
69,28.2906771108222,"NG"
70,28.3589504813351,"NG"
71,28.4353494024224,"NG"
72,28.4096746392208,"NG"
73,28.3878093146095,"NG"
74,28.4638350610408,"NG"
75,28.4897580029232,"NG"
76,28.5134650731346,"NG"
77,28.5768419564594,"NG"
78,28.624930020836,"NG"
79,28.624660172452,"NG"
80,28.593209900945,"NG"
81,28.5871956388941,"NG"
82,28.5911880380241,"NG"
83,28.5722006184953,"NG"
84,28.5509586308423,"NG"
85,28.5299987933411,"NG"
86,28.5017392535802,"NG"
87,28.4749015078693,"NG"
88,28.4453252668919,"NG"
89,28.4174751982011,"NG"
90,28.3916826322319,"NG"
91,28.3679486839379,"NG"
92,28.3462756733236,"NG"
93,28.3266674591515,"NG"
94,28.3091298482728,"NG"
95,28.293670991413,"NG"
96,28.2803009021043,"NG"
97,28.2690299986615,"NG"
98,28.2598719269056,"NG"
99,28.2528456558587,"NG"
100,28.2479766408433,"NG"
101,28.2452998235862,"NG"
102,28.2448638436491,"NG"
103,28.2467302996193,"NG"
104,28.25096968487,"NG"
105,28.2576577406349,"NG"
106,28.2668776343021,"NG"
107,28.2787193452215,"NG"
108,28.2932744462392,"NG"
109,28.3106271867359,"NG"
110,28.330842245663,"NG"
111,28.3539495246615,"NG"
112,28.3799246278599,"NG"
113,28.4086769668422,"NG"
114,28.4400459629419,"NG"
115,28.4738116035023,"NG"
116,28.5097247173451,"NG"
117,28.5475585165759,"NG"
118,28.5871754221701,"NG"
119,28.6285948181033,"NG"
120,28.6718808976199,"NG"
121,28.7170155897432,"NG"
122,28.7639815994902,"NG"
123,28.8127672345774,"NG"
124,28.863365377183,"NG"
125,28.9157733350948,"NG"
